index,url,filename,status,size_bytes,error
96,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b20.pdf,fbi-photo-b20.pdf,downloaded,577784,
97,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b21.pdf,fbi-photo-b21.pdf,downloaded,592551,
98,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b22.pdf,fbi-photo-b22.pdf,downloaded,434482,
99,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b23.pdf,fbi-photo-b23.pdf,downloaded,423857,
100,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b24.pdf,fbi-photo-b24.pdf,downloaded,440280,
101,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b3.pdf,fbi-photo-b3.pdf,downloaded,167999,
102,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b4.pdf,fbi-photo-b4.pdf,downloaded,593683,
103,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b5.pdf,fbi-photo-b5.pdf,downloaded,580719,
104,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b6.pdf,fbi-photo-b6.pdf,downloaded,608164,
105,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b7.pdf,fbi-photo-b7.pdf,downloaded,607218,
106,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b8.pdf,fbi-photo-b8.pdf,downloaded,585686,
107,https://www.war.gov/medialink/ufo/release_1/fbi-photo-b9.pdf,fbi-photo-b9.pdf,downloaded,588086,
108,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d1-apollo-12-transcript-1969.pdf,nasa-uap-d1-apollo-12-transcript-1969.pdf,downloaded,1030644,
109,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d2-apollo-17-transcript-1972.pdf,nasa-uap-d2-apollo-17-transcript-1972.pdf,downloaded,463669,
110,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d4-apollo-11-technical-crew-debriefing-1969.pdf,nasa-uap-d4-apollo-11-technical-crew-debriefing-1969.pdf,downloaded,29286242,
111,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d5-apollo-17-crew-debriefing-for-science-1973.pdf,nasa-uap-d5-apollo-17-crew-debriefing-for-science-1973.pdf,downloaded,212585,
112,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d6-apollo-17-technical-crew-debriefing-1973.pdf,nasa-uap-d6-apollo-17-technical-crew-debriefing-1973.pdf,downloaded,513402,
113,https://www.war.gov/medialink/ufo/release_1/nasa-uap-d7-skylab-technical-crew-debriefing-1973.pdf,nasa-uap-d7-skylab-technical-crew-debriefing-1973.pdf,downloaded,659470,
114,https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm1-apollo-12-1969.jpg,nasa-uap-vm1-apollo-12-1969.jpg,downloaded,2526206,
115,https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm2-apollo-12-1969.jpg,nasa-uap-vm2-apollo-12-1969.jpg,downloaded,2630734,
116,https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm3-apollo-12-1969.jpg,nasa-uap-vm3-apollo-12-1969.jpg,downloaded,2534744,
117,https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm4-apollo-12-1969.jpg,nasa-uap-vm4-apollo-12-1969.jpg,downloaded,2444608,
118,https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm5-apollo-12-1969.jpg,nasa-uap-vm5-apollo-12-1969.jpg,downloaded,2590279,
119,https://www.war.gov/medialink/ufo/release_1/nasa-uap-vm6-apollo-17-1972.jpg,nasa-uap-vm6-apollo-17-1972.jpg,downloaded,1778754,
120,https://www.war.gov/medialink/ufo/release_1/dos-uap-d1-cable-1-papua-new-guinea-january-1985.pdf,dos-uap-d1-cable-1-papua-new-guinea-january-1985.pdf,downloaded,301285,
121,https://www.war.gov/medialink/ufo/release_1/dos-uap-d2-cable-2-kazakhstan-january-1994.pdf,dos-uap-d2-cable-2-kazakhstan-january-1994.pdf,downloaded,370719,
122,https://www.war.gov/medialink/ufo/release_1/059uap00011.pdf,059uap00011.pdf,downloaded,830359,
123,https://www.war.gov/medialink/ufo/release_1/059uap00012.pdf,059uap00012.pdf,downloaded,656720,
124,https://www.war.gov/medialink/ufo/release_1/059uap00013.pdf,059uap00013.pdf,downloaded,1221743,
125,https://www.war.gov/medialink/ufo/release_1/usper-statement-redacted.pdf,usper-statement-redacted.pdf,downloaded,786792,
126,https://www.war.gov/medialink/ufo/release_1/2024-04-30-composite-sketch.pdf,2024-04-30-composite-sketch.pdf,downloaded,109275,
127,https://www.war.gov/medialink/ufo/release_1/serial 5 redacted_redacted.pdf,serial 5 redacted_redacted.pdf,downloaded,227126,
128,https://www.war.gov/medialink/ufo/release_1/serial-3_redacted.pdf,serial-3_redacted.pdf,downloaded,275673,
129,https://www.war.gov/medialink/ufo/release_1/serial-4-redacted_redacted.pdf,serial-4-redacted_redacted.pdf,downloaded,237155,
130,https://www.war.gov/medialink/ufo/release_1/western_us_event_slides_5.08.2026.pdf,western_us_event_slides_5.08.2026.pdf,downloaded,63463,
